,team1,team2,pre1,pre2,prob1,prob2,score1,score2
703,18,2,2216.340396746406,2172.7406590349783,0.792435503508839,0.622083854753269,9.0,6.0
704,7,13,2122.354983308837,2055.647627285748,0.8408963189595637,0.574317992196496,6.0,5.0
705,28,11,2095.6923462204486,2069.890493099714,0.795064768693021,0.6192271311307107,5.0,4.0
706,14,22,2237.853746520487,2113.6331123131354,0.9426966223362806,0.47156214447578604,1.0,2.0
707,0,19,2101.4693918677176,2186.2891911002075,0.6156850960886996,0.7992363464797961,10.0,9.0
708,27,23,2096.6894060397153,2056.61876075166,0.7838298511117904,0.6304640668614835,2.0,10.0
709,12,24,2205.644667555642,2076.042917701942,0.905784841895325,0.5084590598971238,6.0,4.0
710,9,1,2123.6031940449916,2125.0387099977206,0.7679775601955492,0.6464556542906945,8.0,12.0
711,15,16,2147.180659356426,2179.228150192702,0.71480232103554,0.6995294810571816,2.0,4.0
712,4,26,2135.5806875399835,2171.0419766494165,0.6946116630617982,0.7202383501333377,7.0,8.0
713,17,29,2150.561064128498,2178.6449265134625,0.6814052857538233,0.7335480434881956,4.0,16.0
714,10,6,2030.6098645328811,2104.894773635237,0.633229195566349,0.7815024485847272,5.0,1.0
715,20,2,2115.5979570935156,2176.5000842063223,0.700067705081518,0.7165110082756299,13.0,8.0
716,6,8,2106.4601105399297,2167.160183094076,0.6683353313187091,0.7461253260735947,4.0,5.0
717,20,2,2119.9228973041563,2172.1724842732474,0.6416302870803938,0.7740526168608232,0.0,8.0
718,23,9,2053.9351879811597,2126.2860859828934,0.6122009731596486,0.809569149972122,5.0,3.0
719,22,1,2110.348343863218,2128.3282777407185,0.7143995348469505,0.700001904569519,9.0,5.0
720,19,12,2182.669986507567,2209.261328815833,0.7107545714155086,0.705326064716711,7.0,2.0
721,14,24,2236.117148444741,2077.787716749979,0.9828112506095688,0.43591886019738985,6.0,2.0
722,27,0,2093.913667224534,2104.2418859389177,0.7625283535757861,0.6517029201764456,7.0,3.0
723,15,7,2143.5739536792807,2125.9592216026,0.7723715268721161,0.6438318281166332,9.0,3.0
724,13,16,2052.9220799014606,2181.9519854165683,0.5570362357149339,0.8591623244949959,4.0,2.0
725,21,10,2062.72938573924,2028.5975550018663,0.7787984301808422,0.6381959879539294,1.0,2.0
726,4,28,2133.767084962743,2097.5061143711105,0.7933617033383138,0.6210479026939788,5.0,3.0
727,26,18,2169.244880283932,2218.1369523727576,0.6956701371198617,0.7185666552817226,4.0,3.0
728,17,11,2149.039159278886,2071.4134818253247,0.9002602835741873,0.5167645642661195,4.0,2.0
729,20,2,2122.508548289314,2169.5858024320673,0.6679853896980098,0.7464969998286985,2.0,5.0
730,29,3,2180.783651953499,2045.1405149627403,0.953731733937258,0.46228950057362694,2.0,6.0
731,23,9,2057.231996740337,2122.997452675848,0.6394586105220313,0.7790890391899329,0.0,5.0
732,22,1,2112.2503444921404,2126.424386322953,0.7302741467333445,0.6845707139523135,2.0,3.0
733,14,24,2238.9208581537187,2074.980722462319,0.9772754151541164,0.4395008053466846,4.0,5.0
734,4,28,2135.6963085292787,2095.5766343926934,0.7830730735102431,0.6323328171604239,1.0,2.0
